STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-08,0.2,76,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-09,0.75,77,81,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-10,0,77,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-11,NA,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-12,NA,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-13,NA,76,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-14,NA,76,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-15,NA,76,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-16,NA,77,80,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-17,NA,77,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-18,0.04,76,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-19,0,76,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-20,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-21,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-22,NA,77,81,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-23,NA,74,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-27,NA,76,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-28,NA,74,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-29,NA,76,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-07-31,NA,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-01,NA,77,84,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-02,NA,75,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-03,NA,76,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-04,NA,76,81,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-05,NA,75,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-06,0,76,85,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-07,NA,76,85,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-08,0.02,77,83,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-09,0,75,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-10,NA,76,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-11,0,74,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-12,NA,78,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-13,NA,76,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-14,NA,76,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-15,0,76,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-16,NA,74,81,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-17,0,75,84,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-18,0,74,84,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-19,NA,77,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-20,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-21,NA,78,85,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-22,NA,76,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-23,NA,77,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-24,NA,78,87,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-25,NA,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-26,0,76,82,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-27,0,77,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-28,NA,76,83,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-29,NA,78,84,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-30,NA,79,85,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-08-31,NA,80,85,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-01,NA,80,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-02,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-03,0,76,79,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-04,NA,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-05,NA,77,84,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-06,NA,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-07,NA,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-08,NA,78,85,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-09,NA,79,84,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-10,NA,78,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-11,0,77,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-12,NA,79,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-13,NA,78,85,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-22,NA,80,87,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-23,0,80,88,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-24,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-25,NA,80,87,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-26,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-27,0,78,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-28,NA,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-29,NA,79,86,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-09-30,NA,80,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-01,0,81,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-02,NA,78,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-03,NA,78,88,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-04,NA,78,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-05,0.01,80,89,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-06,0,77,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-07,0.51,79,86,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-08,0.2,79,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-09,0,82,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-10,0,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-11,0.08,81,89,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-12,0.01,80,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-13,0,82,89,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-14,NA,78,NA,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-15,0.28,80,NA,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-16,0,81,88,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-17,NA,79,83,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-18,NA,77,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-19,NA,81,NA,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-20,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-21,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-22,NA,81,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-23,NA,83,88,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-24,NA,83,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-25,0.08,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-26,0,82,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-27,NA,81,NA,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-28,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-29,NA,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-30,NA,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-10-31,NA,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-01,NA,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-02,0.75,79,86,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-03,0,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-04,NA,82,89,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-05,0,84,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-06,NA,82,NA,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-07,NA,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-08,NA,83,90,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-09,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-10,0,81,88,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-11,NA,81,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-12,0.02,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-13,0,83,90,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-14,NA,83,91,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-15,0,82,89,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-16,NA,83,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-17,0,83,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-18,0,83,NA,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-19,0,83,90,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-20,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-21,NA,83,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-22,NA,83,91,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-23,NA,82,NA,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-24,NA,82,NA,NA
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990-11-25,NA,83,NA,77
